location,district,area,bed,latitude,longitude,price,type
"24 Hampton Wood Lawn, Hampton Wood, Finglas, Dublin 11",11,null,3 Bed,53.4041406,-6.2842152,"€ 239,950",Terrace
"24 Hunters Meadow, Hunters Wood, Ballycullen, Dublin 24",24,95 m²,3 Bed,53.2689175,-6.3295489,"€ 385,000",Terrace
"24 Killeen Road, Ranelagh, Dublin 6",6,122 m²,2 Bed,53.3234563,-6.2505421,"€ 895,000",Terrace
"24 Lanesborough Castle, Lanesborough, Finglas, Dublin 11",11,139 m²,4 Bed,53.4060895,-6.2973958,"€ 350,000",Duplex
"24 Lanesborough Mews, Finglas, Dublin 11",11,null,3 Bed,53.390325,-6.2984007,"€ 230,000",Apartment
"24 Mount Anville Wood, Lower Kilmacud Road, Goatstown, Dublin 14",14,136 m²,4 Bed,53.2900366,-6.2190272,"€ 799,000",Detached
"24 Priory Road, Harold's Cross, Dublin 6",6,152 m²,5 Bed,53.3267474,-6.2810512,"€ 619,950",Semi-D
"24 Ribh Road, Artane, Dublin 5",5,84 m²,2 Bed,53.3809352,-6.1903388,"€ 325,000",Terrace
"24 Saint Albans Road, South Circular Road, Dublin 8",8,96 m²,2 Bed,53.3335216,-6.2775004,"€ 695,000",Terrace
"24 Sherrard Avenue, Dublin 1",1,50 m²,2 Bed,53.360147,-6.2582758,"€ 279,000",End of Terrace
"24 Stocking Wood Hall, Stocking Avenue, Rathfarnham, Dublin 14",14,72 m²,2 Bed,53.272445,-6.317998,"€ 275,000",Apartment
"24 The Close Hunters Run, Clonee, Dublin 15",15,null,3 Bed,53.4037971,-6.4224064,"€ 350,000",Semi-D
"24 The Waterfront, Grand Canal Dock, Dublin 2",2,86 m²,2 Bed,53.344003,-6.2341582,"€ 700,000",Apartment
"243 Carnlough Road, Cabra West, Cabra, Dublin 7",7,null,4 Bed,53.3682139,-6.2913943,"€ 380,000",Semi-D
"248 Swords Road, Whitehall, Dublin 9",9,95 m²,3 Bed,53.388043,-6.244457,"€ 465,000",Semi-D
"24A Londonbridge Road, Sandymount, Dublin 4",4,117 m²,3 Bed,53.3379928,-6.2237978,"€ 865,000",End of Terrace
"25 Ailesbury Lawn Dundrum Dublin 16, Dundrum, Dublin 16",16,107 m²,3 Bed,53.2856706,-6.2487622,"€ 595,000",Semi-D
"25 Ballyfermot Crescent, Ballyfermot, Dublin 10",10,61 m²,2 Bed,53.3407977,-6.3500637,"€ 230,000",Terrace
"25 Barnwell Road, Hansfield, Clonsilla, Dublin 15",15,null,3 Bed,53.390892,-6.4425579,"€ 335,000",Terrace
"25 Belgrove Road, Clontarf, Dublin 3",3,100 m²,3 Bed,53.3612593,-6.1978348,"€ 565,000",Terrace
"25 Belmont Square, Raheny, Dublin 5",5,105 m²,3 Bed,53.3844747,-6.1717019,"€ 395,000",Duplex
"25 Benbulbin, Drimnagh, Dublin 12",12,null,3 Bed,53.331111,-6.3121354,"€ 300,000",Terrace
"25 Dargle Road, Drumcondra, Dublin 3",3,82 m²,3 Bed,53.3665072,-6.2598909,"€ 395,000",Terrace
"25 Faughart Road, Crumlin, Dublin 12",12,109 m²,4 Bed,53.3197743,-6.2907048,"€ 375,000",Semi-D
"25 Glendown Park, D6WH265, Templeogue, Dublin 6W",6W,149 m²,4 Bed,53.3036738,-6.3172292,"€ 675,000",Semi-D
"25 Haddington Road, Ballsbridge, Dublin 4",4,201 m²,5 Bed,53.3343136,-6.2435623,"€ 950,000",Terrace
"25 Hazelbrook Road, Terenure, Dublin 6",6,105 m²,3 Bed,53.3128064,-6.2971883,"€ 675,000",Semi-D
"25 Jamestown Road, Finglas, Dublin 11",11,null,3 Bed,53.3907065,-6.2973263,"€ 260,000",End of Terrace
"25 Larkfield Place, Leopardstown, Dublin 18",18,161 m²,4 Bed,53.2578155,-6.1993592,"€ 630,000",End of Terrace
"25 Melville Cove, Finglas, Dublin 11",11,null,2 Bed,53.4025877,-6.2995416,"€ 209,950",Apartment
"25 Melville Terrace, Meakstown, Finglas, Dublin 11",11,null,4 Bed,53.4002018,-6.2917142,"€ 324,950",Terrace
"25 Millmount Grove, Dundrum, Windy Arbour, Dublin 14",14,60 m²,2 Bed,53.3039373,-6.2459114,"€ 345,000",Semi-D
"25 Muckross Green, Perrystown, Dublin 12",12,92 m²,3 Bed,53.3127181,-6.3126017,"€ 440,000",Terrace
"25 Phoenix Street, Inchicore, Dublin 8",8,41 m²,1 Bed,53.3431182,-6.3283564,"€ 225,000",Terrace
"25 Raglan Road Ballsbridge Dublin 4, Ballsbridge, Dublin 4",4,405 m²,5 Bed,53.3300887,-6.2388127,"€ 3,500,000",Detached
"25 The Linden Riversdale Dundrum Dublin 16, Dundrum, Dublin 16",16,99 m²,3 Bed,53.2866086,-6.2382576,"€ 585,000",Apartment
"25 The Wellington, Riverpark Apartments, Conyngham Road, Dublin 8",8,null,1 Bed,53.3483129,-6.3030824,"€ 250,000",Apartment
"25 The Wheatbarn Bakers Yard Portland Street Dublin 1, North Circular Road, Dublin 1",1,null,2 Bed,53.3592131,-6.2558378,"€ 310,000",Apartment
"25 Wilkin's View, Walkinstown, Dublin 12",12,120 m²,3 Bed,53.3068435,-6.3297927,"€ 550,000",Terrace
"254 Griffith Avenue, Drumcondra, Dublin 9",9,110 m²,4 Bed,53.371776,-6.2529044,"€ 725,000",Semi-D
"26 Ashton Lawn, Knocklyon, Dublin 16",16,105 m²,4 Bed,53.2855079,-6.3096437,"€ 540,000",Detached
"26 Clonshaugh Walk, Clonshaugh, Dublin 17",17,87 m²,3 Bed,53.4039338,-6.2087414,"€ 350,000",Semi-D
"26 Cloonlara Crescent, Finglas South, Finglas, Dublin 11",11,null,4 Bed,53.3793661,-6.2950498,"€ 249,950",Terrace
"26 College Square, Terenure, Dublin 6W",6W,172 m²,4 Bed,53.3068214,-6.3114173,"€ 795,000",Terrace
"26 Courtney House, Appian Way, Ranelagh, Dublin 6",6,42 m²,1 Bed,53.3277181,-6.2477728,"€ 270,000",Apartment
"26 Elm Mount View, Beaumont, Dublin 9",9,null,3 Bed,53.3817076,-6.2238219,"€ 495,000",Semi-D
"26 Glencairn Crescent, The Gallops, Leopardstown, Dublin 18",18,110 m²,3 Bed,53.2620008,-6.2043663,"€ 525,000",Semi-D
"26 Grianan Fidh, Aiken's Village, Sandyford, Dublin 18",18,124 m²,3 Bed,53.2635444,-6.2185095,"€ 465,000",Terrace
"26 Hastings Street, Ringsend, Dublin 4",4,75 m²,2 Bed,53.3413376,-6.2326475,"€ 490,000",Terrace
"26 Hazelbrook Drive, Terenure, Dublin 6",6,1045 m²,3 Bed,53.3128128,-6.2943927,"€ 598,000",Semi-D
"26 Hollywood Drive, Goatstown, Dublin 14",14,164 m²,4 Bed,53.2949951,-6.2303529,"€ 730,000",Semi-D
"26 Martin Street, Portobello, Dublin 8",8,70 m²,2 Bed,53.3305046,-6.2682104,"€ 560,000",Terrace
"26 Northumberland Place, Dublin 4",4,99 m²,3 Bed,53.3380414,-6.2388819,"€ 545,000",Duplex
"26 Nutley Square, Greenfield Park, Donnybrook, Dublin 4",4,63 m²,2 Bed,53.3127403,-6.2270921,"€ 465,000",Terrace
"26 Oak Rise, Royal Oak, Santry, Dublin 9",9,null,3 Bed,53.4027393,-6.2381556,"€ 369,950",Semi-D
"26 Oxmantown Road, Stoneybatter, Dublin 7",7,72 m²,3 Bed,53.3540192,-6.2921482,"€ 335,000",Terrace
"26 Poddle Park, Kimmage, Dublin 12",12,121 m²,3 Bed,53.3150417,-6.297465,"€ 550,000",Semi-D
"26 Ravensdale Park, Kimmage, Dublin 12",12,74 m²,3 Bed,53.3142328,-6.2996535,"€ 485,000",Bungalow
"26 Saint Samson's Square, Balgriffin, Dublin 13",13,104 m²,3 Bed,53.4075815,-6.1720488,"€ 365,000",End of Terrace
"26 St Brigids Road Upper, Drumcondra, Dublin 9",9,140 m²,4 Bed,53.3691884,-6.2544102,"€ 625,000",End of Terrace
"26 The Linden Riversdale Dundrum Dublin 16, Dundrum, Dublin 16",16,99 m²,3 Bed,53.2866086,-6.2382576,"€ 575,000",Apartment
"26 The Tramyard, Inchicore, Dublin 8",8,46 m²,1 Bed,53.338898,-6.321499,"€ 195,000",Apartment
"26 Woodford Avenue, Clondalkin, Dublin 22",22,80 m²,3 Bed,53.3227235,-6.3783659,"€ 225,000",Terrace
"265 Bannow Road, Cabra, Dublin 7",7,75 m²,2 Bed,53.3707292,-6.2972918,"€ 350,000",End of Terrace
"268 Castlecurragh Heath, Mulhuddart, Dublin 15",15,92 m²,2 Bed,53.4026249,-6.3914404,"€ 230,000",Apartment
"269 Navan Road, Dublin 7",7,152 m²,5 Bed,53.3681444,-6.3186235,"€ 575,000",Semi-D
"27 Ard Righ Road, Arbour Hill, Stoneybatter, Dublin 7",7,77 m²,2 Bed,53.3509449,-6.2860186,"€ 395,000",Terrace
"27 Ballintyre Demesne, Ballinteer, Dublin 16",16,84 m²,2 Bed,53.2739667,-6.2538978,"€ 375,000",Apartment
"27 Brookvale Downs, Rathfarnham, Dublin 14",14,91 m²,3 Bed,53.3038493,-6.2845403,"€ 550,000",Semi-D
"27 Cherrywood Avenue, Clondalkin, Dublin 22",22,65 m²,3 Bed,53.3218117,-6.4052875,"€ 285,000",Bungalow
"27 Cherrywood Villas, Clondalkin, Dublin 22",22,80 m²,3 Bed,53.3197069,-6.4141433,"€ 279,000",Semi-D
"27 Clonsilla Road, Blanchardstown, Dublin 15",15,161 m²,4 Bed,53.3884048,-6.3826692,"€ 450,000",Semi-D
"27 Dunmore Park, Kingswood, Dublin 24",24,null,2 Bed,53.3110892,-6.3659139,"€ 309,950",Bungalow
"27 Eaton Brae Rathgar Dublin 14, Rathgar, Dublin 6",6,135 m²,4 Bed,53.303096,-6.2621914,"€ 895,000",Detached
"27 Ennel Drive, Artane, Dublin 5",5,71 m²,2 Bed,53.3819676,-6.2053405,"€ 290,000",Terrace
"27 Glentow Road, Whitehall, Dublin 9",9,75 m²,2 Bed,53.3874888,-6.2473118,"€ 299,000",End of Terrace
"27 Goldenbridge Avenue, Inchicore, Dublin 8",8,74 m²,2 Bed,53.3382191,-6.3101878,"€ 295,000",Terrace
"27 Knocksinna Crescent, Foxrock, Dublin 18",18,141 m²,4 Bed,53.2781949,-6.1776847,"€ 765,000",Bungalow
"27 Maolbuille Road, Glasnevin, Dublin 11",11,85 m²,3 Bed,53.3878168,-6.2681223,"€ 350,000",Terrace
"27 Marguerite Road, Glasnevin, Dublin 11",11,130 m²,3 Bed,53.3683845,-6.267831,"€ 700,000",Terrace
"27 Mount Carmel Road, Goatstown, Dublin 14",14,121 m²,3 Bed,53.2960132,-6.2396335,"€ 685,000",Semi-D
"27 New Bancroft Hall, Tallaght, Dublin 24",24,96 m²,3 Bed,53.2888598,-6.3635496,"€ 350,000",Apartment
"27 Primrose Street, Dublin 7",7,67 m²,2 Bed,53.356401,-6.2705281,"€ 420,000",End of Terrace
"27 Shanliss Way, Santry, Dublin 9",9,107 m²,3 Bed,53.3952718,-6.253053,"€ 350,000",Semi-D
"27 The Ivory Building, Hanover Street East, Dublin 2",2,70 m²,2 Bed,53.3449793,-6.242809,"€ 475,000",Apartment
"27 West Gate, St Augustine Street, Christchurch, Dublin 8",8,44 m²,2 Bed,53.3437372,-6.2765562,"€ 260,000",Apartment
"272 Howth Road, Killester, Dublin 5",5,299 m²,4 Bed,53.3740788,-6.199923,"€ 1,300,000",Detached
"278 Keeper Road, Drimnagh, Dublin 12",12,60 m²,2 Bed,53.3311498,-6.2985481,"€ 285,000",Terrace
"28 Annesley Place North Strand Dublin 3, North Strand, Dublin 3",3,110 m²,3 Bed,53.360241,-6.2407825,"€ 375,000",Terrace
"28 Ashfield Grove, Clonsilla, Dublin 15",15,null,3 Bed,53.4037549,-6.4055003,"€ 249,950",Bungalow
"28 Ashtown Grove, Navan Road, Ashtown, Dublin 7",7,102 m²,3 Bed,53.3705567,-6.323507,"€ 485,000",Semi-D
"28 Beech House, Carrickmines Green, Carrickmines, Dublin 18",18,60 m²,2 Bed,53.2500367,-6.1786733,"€ 269,000",Apartment
"28 Cairn Hill, Westminster Road, Foxrock, Dublin 18",18,221 m²,4 Bed,53.2701899,-6.1700578,"€ 1,125,000",Detached
"28 Camac Park, Bluebell, Dublin 12",12,76 m²,2 Bed,53.3294256,-6.349202,"€ 400,000",Semi-D
"28 Clonkeen Drive Foxrock Dublin 18, Foxrock, Dublin 18",18,136 m²,4 Bed,53.2755069,-6.1644907,"€ 650,000",Semi-D
"28 Crosbie House, Northbrook Avenue, Ranelagh, Dublin 6",6,38 m²,1 Bed,53.3274436,-6.2552825,"€ 285,000",Apartment
"28 Fitzwilliam Square South, And Mews To Rear At Kingram Pl, Dublin 2",2,543 m²,5 Bed,53.3344782,-6.2534872,"€ 3,000,000",Terrace
"28 Foxrock Avenue Foxrock Dublin 18, Foxrock, Dublin 18",18,235 m²,5 Bed,53.2774256,-6.1678568,"€ 895,000",Semi-D
"28 Gilford Road, Sandymount, Dublin 4",4,279 m²,4 Bed,53.3290973,-6.2123163,"€ 3,500,000",Semi-D
"28 Greenmount Road, Terenure, Dublin 6",6,137 m²,3 Bed,53.3086182,-6.2797271,"€ 950,000",Semi-D
"28 Kilcarrig Green, Tallaght, Dublin 24",24,85 m²,3 Bed,53.2917377,-6.3927289,"€ 270,000",End of Terrace
"28 Leeson Park Avenue Ranelagh Dublin 6, Ranelagh, Dublin 6",6,135 m²,2 Bed,53.3268358,-6.2474813,"€ 1,275,000",Terrace
"28 Main Road, Tallaght, Dublin 24",24,125 m²,3 Bed,53.288938,-6.3506055,"€ 380,000",Bungalow
"28 Malahide Road, Clontarf, Dublin 3",3,137 m²,3 Bed,53.3661837,-6.22836,"€ 550,000",Terrace
"28 Melville Court, Finglas, Dublin 11",11,null,3 Bed,53.4006946,-6.2954138,"€ 249,950",Duplex
"28 Mount Symon Crescent, Clonsilla, Dublin 15",15,96 m²,3 Bed,53.3889952,-6.4241678,"€ 340,000",Semi-D
"28 Orwell Gardens, Rathgar, Dublin 6",6,76 m²,3 Bed,53.3058215,-6.2636796,"€ 475,000",End of Terrace
"28 Quartiere Bloom, Ormond Quay Lower, North City Centre, Dublin 1",1,74 m²,2 Bed,53.3466154,-6.2652045,"€ 450,000",Apartment
"28 Saint Mary's Crescent, Crumlin, Walkinstown, Dublin 12",12,72 m²,2 Bed,53.3238595,-6.3205785,"€ 280,000",Terrace
"28 Saint Nessans Terrace, Howth, Dublin 13",13,146 m²,3 Bed,53.3839411,-6.0670781,"€ 750,000",End of Terrace
"28 Tamarisk Lawn, Kilnamanagh, Dublin 24",24,null,3 Bed,53.3032875,-6.3577474,"€ 350,000",Semi-D
"28 Ticknock Way, Ticknock Hill, D18P030, Ticknock, Dublin 18",18,145 m²,3 Bed,53.2684116,-6.2441373,"€ 425,000",Duplex
"28 West Road, East Wall, Dublin 3",3,75 m²,2 Bed,53.3570548,-6.2375983,"€ 425,000",Terrace
"281 Galtymore Road, Drimnagh, Dublin 12",12,null,3 Bed,53.3352762,-6.309568,"€ 385,000",End of Terrace
"284 Cooley Road, Drimnagh, Dublin 12",12,56 m²,2 Bed,53.3327028,-6.3257644,"€ 290,000",End of Terrace
"289 Richmond Road, Drumcondra, Dublin 3",3,null,5 Bed,53.3625736,-6.2420488,"€ 750,000",Apartment
"28a Redwood Rise, Kilnamanagh, Dublin 24",24,null,4 Bed,53.2992342,-6.3627364,"€ 435,000",Detached
"28a Virginia Park, Finglas, Dublin 11",11,null,3 Bed,53.3833051,-6.313701,"€ 199,950",Detached
"29 Albert College Park, Glasnevin, Dublin 11",11,null,3 Bed,53.3832301,-6.2633996,"€ 424,950",Semi-D
"29 Arnott Street, Portobello, Dublin 8",8,118 m²,3 Bed,53.3351913,-6.2699858,"€ 600,000",End of Terrace
"29 Beechpark Court, Malahide Road, Coolock, Dublin 5",5,82 m²,3 Bed,53.3890055,-6.198767,"€ 360,000",Semi-D
"29 Brookfield, Kimmage Road West, Kimmage, Dublin 12",12,100 m²,3 Bed,53.3128751,-6.3013087,"€ 550,000",Terrace
"29 Captain's Avenue, Crumlin, Dublin 12",12,62 m²,2 Bed,53.3275812,-6.3037719,"€ 270,000",Terrace
"29 Carrigmore Park, Aylesbury, Tallaght, Dublin 24",24,null,3 Bed,53.273022,-6.3691421,"€ 300,000",Semi-D
"29 Castlebrook, Dundrum, Dublin 16",16,90 m²,3 Bed,53.2807009,-6.2427837,"€ 545,000",Terrace
"29 Ellesmere Avenue, North Circular Road, Dublin 7",7,105 m²,3 Bed,53.3574619,-6.2914336,"€ 480,000",Semi-D
"29 Hawthorn House, Farmleigh Woods, Castleknock, Dublin 15",15,93 m²,2 Bed,53.3674026,-6.361866,"€ 555,000",Apartment
"29 Killakee Gardens, Firhouse, Dublin 24",24,86 m²,3 Bed,53.2773687,-6.3444411,"€ 375,000",Semi-D
"29 Leinster Park, Harold's Cross, Dublin 6",6,174 m²,4 Bed,53.3244759,-6.2782754,"€ 750,000",End of Terrace
"29 Malahide Road, (Artane Roundabout) & Studio Apartment, Artane, Dublin 5",5,118 m²,3 Bed,53.3863803,-6.2023067,"€ 445,000",Semi-D
"29 Monalea Grove, Firhouse, Dublin 24",24,89 m²,3 Bed,53.2814597,-6.3317229,"€ 425,000",Semi-D
"29 Mountain View Park, Rathfarnham, Dublin 14",14,75 m²,3 Bed,53.291007,-6.2631052,"€ 395,000",Terrace
"29 Shangan Gardens, Ballymun, Dublin 9",9,90 m²,3 Bed,53.3939324,-6.2549319,"€ 245,000",End of Terrace
"29 St Gabriels, Cabinteely, Dublin 18",18,260 m²,5 Bed,53.2655778,-6.1513912,"€ 1,150,000",Detached
"29 Summerfield Green, Blanchardstown, Dublin 15",15,125 m²,4 Bed,53.3857375,-6.3879368,"€ 445,000",Semi-D
"29 Valeview Gardens, Finglas South, Finglas, Dublin 11",11,null,3 Bed,53.3805546,-6.3103721,"€ 199,950",End of Terrace
"29 Verbena Avenue, Sutton, Dublin 13",13,null,3 Bed,53.3905545,-6.1459985,"€ 479,000",Semi-D
"29 Victoria Road, Clontarf, Dublin 3",3,456 m²,9 Bed,53.3627422,-6.2108347,"€ 2,750,000",Detached
"29 Woodlawn Close, Santry, Dublin 9",9,168 m²,4 Bed,53.399178,-6.2296225,"€ 460,000",Detached
"29a Kilmore Road, Artane, Dublin 5",5,98 m²,4 Bed,53.3860559,-6.2161727,"€ 425,000",Semi-D
"29A Stonebridge Drive, Clonsilla, Dublin 15",15,98 m²,3 Bed,53.3901982,-6.4252863,"€ 375,000",Detached
"2a Foxfield Green, Raheny, Dublin 5",5,111 m²,4 Bed,53.3839287,-6.157767,"€ 490,000",Detached
"2A Grosvenor Road, Rathmines, Dublin 6",6,129 m²,3 Bed,53.3208409,-6.2690378,"€ 915,000",Semi-D
"3 Alder Lodge, Farmleigh Woods, Castleknock, Dublin 15",15,null,2 Bed,53.3669374,-6.3579188,"€ 485,000",Apartment
"3 Ambassador Court, Pembroke Lane, Ballsbridge, Dublin 4",4,135 m²,3 Bed,53.3318413,-6.2414512,"€ 995,000",Terrace
"3 Annamoe Road, (D7), North Circular Road, Dublin 7",7,130 m²,3 Bed,53.3576274,-6.2885309,"€ 695,000",Terrace
"3 Ballinteer Avenue Ballinteer Dublin 16, Ballinteer, Dublin 16",16,82 m²,4 Bed,53.2739324,-6.2618346,"€ 495,000",Semi-D
"3 Bargy Road, East Wall, Dublin 3",3,55 m²,2 Bed,53.3546031,-6.2303271,"€ 290,000",Terrace
"3 Beechdale Road, Ballycullen, Dublin 24",24,null,3 Bed,53.269653,-6.336066,"€ 370,000",Semi-D
"3 Cabra Grove, Cabra, Dublin 7",7,120 m²,3 Bed,53.3674569,-6.2988594,"€ 450,000",Terrace
"3 Carlingford Road, Drumcondra, Dublin 9",9,null,3 Bed,53.3664334,-6.2580408,"€ 495,000",Terrace
"3 Castlefield Green, Knocklyon, Dublin 16",16,68 m²,2 Bed,53.2798958,-6.3258773,"€ 360,000",Terrace
"3 Cedar Brook Place, Cherry Orchard, Dublin 22",22,null,2 Bed,53.3375712,-6.3804051,"€ 199,950",Duplex
"3 Churchwell Mews, Belmayne, Balgriffin, Dublin 13",13,127 m²,3 Bed,53.406204,-6.1726041,"€ 350,000",End of Terrace
"3 Claremont Lawns, Glasnevin, Dublin 11",11,82 m²,3 Bed,53.3690275,-6.2795876,"€ 340,000",Terrace
"3 Deerpark Road, Kiltipper, Tallaght, Dublin 24",24,103 m²,3 Bed,53.2709299,-6.3748665,"€ 270,000",Terrace
"3 Del Val Court, Sutton, Dublin 13",13,136 m²,3 Bed,53.3871284,-6.1404489,"€ 535,000",End of Terrace
"3 Ely Woods, Owendoher Lodge, Rathfarnham, Dublin 14",14,63 m²,2 Bed,53.2842769,-6.2967525,"€ 395,000",Apartment
"3 Fairfield Avenue, East Wall, Dublin 3",3,47 m²,1 Bed,53.3549576,-6.2357928,"€ 260,000",Apartment
"3 Fernley Court, Long Lane, Dublin 8",8,80 m²,2 Bed,53.3363159,-6.2710141,"€ 395,000",Terrace
"3 Finglas Park, Finglas East, Finglas, Dublin 11",11,null,3 Bed,53.391011,-6.2933798,"€ 305,000",Terrace
"3 Greentrees Road, Terenure, Dublin 6",6,154 m²,4 Bed,53.3069881,-6.3209936,"€ 575,000",Semi-D
"3 Grove House, Hainault Road, Foxrock, Dublin 18",18,null,2 Bed,53.2659892,-6.1804063,"€ 575,000",Apartment
"3 Hawthorn Terrace, East Wall, Dublin 3",3,101 m²,4 Bed,53.353617,-6.2371745,"€ 370,000",Terrace
"3 Huntstown Wood, Huntstown, Blanchardstown, Dublin 15",15,113 m²,3 Bed,53.4018386,-6.4115692,"€ 325,000",Semi-D
"3 Johns Court, St. John's Street West, Dublin 8",8,null,2 Bed,53.3742942,-6.2195014,"€ 280,000",Apartment
"3 Kerrymount Rise, Foxrock, Dublin 18",18,202 m²,4 Bed,53.2625653,-6.1699526,"€ 850,000",Detached
"3 Kilcarrig Avenue, Tallaght, Dublin 24",24,null,3 Bed,53.2925124,-6.39483,"€ 265,000",Terrace
"3 Landsdowne Valley Crescent, Kilworth Road, Drimnagh, Dublin 12",12,101 m²,3 Bed,53.3340099,-6.325002,"€ 345,000",Terrace
"3 Larkfield Park, Harold's Cross, Harold's Cross, Dublin 6W",6W,90 m²,3 Bed,53.3186011,-6.2888335,"€ 399,950",Terrace
"3 Limekiln Lane, Perrystown, Dublin 12",12,null,3 Bed,53.3114993,-6.3227248,"€ 375,000",Bungalow
"3 Lombard Court, City Quay, Dublin 2",2,90 m²,3 Bed,53.3464976,-6.2479348,"€ 450,000",Terrace
"3 Loreto Terrace, Rathfarnham, Dublin 14",14,58 m²,2 Bed,53.2937469,-6.2798648,"€ 385,000",Terrace
"3 Maplewood Park, Springfield, Tallaght, Dublin 24",24,100 m²,3 Bed,53.2869237,-6.3832331,"€ 249,000",Terrace
"3 Mayeston Close, Finglas, Dublin 11",11,null,3 Bed,53.4066988,-6.2895219,"€ 330,000",Semi-D
"3 Millbrook Terrace, Kilmainham, Dublin 8",8,36 m²,2 Bed,53.3411749,-6.3061364,"€ 120,000",End of Terrace
"3 Milltown Grove, Churchtown, Dublin 14",14,132 m²,4 Bed,53.3016206,-6.2613271,"€ 735,000",Semi-D
"3 Mountjoy Parade, North Circular Road, Dublin 7",7,56 m²,2 Bed,53.3583008,-6.2524133,"€ 310,000",Townhouse
"3 Mulvey Park, Dundrum, Dublin 14",14,85 m²,2 Bed,53.3011636,-6.2449132,"€ 485,000",End of Terrace
"3 Oaklands Terrace Rathgar Dublin 6, Rathgar, Dublin 6",6,84 m²,3 Bed,53.3129477,-6.2804637,"€ 595,000",Terrace
"3 Pinewood Grove, Glasnevin, Dublin 11",11,null,4 Bed,53.3926467,-6.2717905,"€ 495,000",Semi-D
"3 Rampart Lane Donnybrook Dublin 4, Donnybrook, Dublin 4",4,93 m²,2 Bed,53.3228514,-6.2348604,"€ 850,000",Detached
"3 Riverwood Green, Castleknock, Dublin 15",15,107 m²,3 Bed,53.3744008,-6.3947101,"€ 475,000",Semi-D
"3 Shelmalier Road, East Wall, Dublin 3",3,60 m²,2 Bed,53.3541642,-6.2348758,"€ 295,000",Terrace
"3 Somerton Mews, Castleknock Golf Club, Castleknock, Dublin 15",15,274 m²,4 Bed,53.3438812,-6.4528098,"€ 975,000",Semi-D
"3 Spencer House, Custom House Square, Dublin 1",1,90 m²,2 Bed,53.3498134,-6.2446272,"€ 375,000",Apartment
"3 St James's Terrace, Sandymount, Dublin 4",4,120 m²,3 Bed,53.3328993,-6.2914058,"€ 865,000",Duplex
"3 Sycamore House, Parkview, Baldoyle Road, Sutton, Dublin 13",13,70 m²,2 Bed,53.4020648,-6.1400624,"€ 350,000",Apartment
"3 The Manor, Royston, Kimmage, Dublin 12",12,55 m²,2 Bed,53.3157965,-6.3101482,"€ 275,000",Apartment
"3 Weston Grove, Churchtown, Dublin 14",14,118 m²,3 Bed,53.2908253,-6.2514691,"€ 695,000",Semi-D
"3 White Pines Drive, Stocking Avenue, Rathfarnham, Dublin 16",16,101 m²,3 Bed,53.2733444,-6.3143767,"€ 475,000",Terrace
"3 Woodbrook Park, Castleknock, Dublin 15",15,79 m²,2 Bed,53.376398,-6.4018562,"€ 280,000",Apartment
"3 Woodford Downs, Clondalkin, Dublin 22",22,92 m²,3 Bed,53.3244965,-6.3797584,"€ 280,000",Terrace
"30 Beechdale Crescent, Ballycullen, Dublin 24",24,144 m²,3 Bed,53.2700459,-6.3415907,"€ 445,000",Semi-D
"30 Cammock, Kilmainham, Dublin 8",8,42 m²,1 Bed,53.3414811,-6.2987634,"€ 225,000",Apartment
"30 Castle Farm, Shankill, Dublin 18",18,101 m²,3 Bed,53.2264453,-6.1220697,"€ 485,000",Semi-D
"30 Clanranald Road, Donnycarney, Dublin 3",3,54 m²,2 Bed,53.37487,-6.2146347,"€ 310,000",Terrace
"30 Darley Street, Harold's Cross, Dublin 6",6,58 m²,2 Bed,53.3267474,-6.2810512,"€ 425,000",Terrace
"30 Highfield Court, 38 Highfield Road, Rathgar, Dublin 6",6,43 m²,1 Bed,53.3117562,-6.2724124,"€ 265,000",Apartment
"30 Home Farm Park, Drumcondra, Dublin 3",3,95 m²,3 Bed,53.3733124,-6.2560322,"€ 675,000",End of Terrace
"30 Huntstown Court, Clonsilla, Dublin 15",15,121 m²,3 Bed,53.3997703,-6.4112282,"€ 385,000",Semi-D
"30 Kilfenora Road, Kimmage, Dublin 12",12,75 m²,3 Bed,53.3189451,-6.2977539,"€ 349,950",Terrace
"30 Lakelands Park, Terenure, Dublin 6W",6W,312 m²,5 Bed,53.3075779,-6.2937342,"€ 1,900,000",Semi-D
"30 Laverna Way, Castleknock, Dublin 15",15,113 m²,4 Bed,53.3736415,-6.3830433,"€ 525,000",Semi-D
